"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"72" 105 "1336" 1336 34.69211 -7.8015 686585 9137272 2 "perpendicular" 2 "1_upstream" 2011 1 1 16 "early" 2251.72 2252 "K" 4 2 "browser" 4
"73" 107 "1336" 1336 34.66584 -7.78194 683696 9139447 2 "perpendicular" 2 "1_upstream" 2011 1 1 16 "early" 5720.71 5721 "I" 1 3 "mixed" 15
"74" 108 "1336" 1336 34.66501 -7.78206 683604 9139434 2 "perpendicular" 2 "1_upstream" 2011 1 1 16 "early" 5774.35 5774 "I" 1 3 "mixed" 4
"75" 109 "1317" 1317 34.62336 -7.7857 679008 9139050 2 "perpendicular" 2 "1_upstream" 2011 1 1 16 "early" 2487.32 2487 "I" 1 3 "mixed" 7
"76" 110 "1317" 1317 34.60477 -7.7736 676963 9140396 2 "perpendicular" 2 "1_upstream" 2011 1 1 16 "early" 39.12 39 "G" 2 2 "browser" 1
"77" 111 "689" 689 34.94012 -7.66835 714009 9151883 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 422.17 422 "I" 1 3 "mixed" 1
"78" 114 "696" 696 34.93947 -7.65751 713942 9153082 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 1382.5 1382 "I" 1 3 "mixed" 1
"79" 115 "696" 696 34.9429 -7.65479 714322 9153381 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 1446.54 1447 "I" 1 3 "mixed" 2
"80" 118 "732" 732 34.97798 -7.65875 718191 9152925 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 356.07 356 "I" 1 3 "mixed" 18
"81" 120 "1330" 1330 34.98784 -7.65462 719281 9153377 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 217.59 218 "I" 1 3 "mixed" 4
"82" 121 "1330" 1330 34.98925 -7.64944 719440 9153950 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 430.03 430 "I" 1 3 "mixed" 3
"83" 122 "760" 760 34.98853 -7.6445 719363 9154496 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 649.57 650 "I" 1 3 "mixed" 1
"84" 123 "782" 782 34.99061 -7.63099 719599 9155990 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 887.05 887 "G" 2 2 "browser" 1
"85" 124 "782" 782 34.99061 -7.63099 719599 9155990 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 887.05 887 "I" 1 3 "mixed" 9
"86" 125 "782" 782 34.99061 -7.63099 719599 9155990 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 887.05 887 "I" 1 3 "mixed" 4
"87" 126 "784" 784 34.99282 -7.62732 719845 9156395 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 590.43 590 "I" 1 3 "mixed" 2
"88" 128 "796" 796 35.0044 -7.61973 721127 9157228 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 235.71 236 "I" 1 3 "mixed" 1
"89" 129 "805" 805 35.00663 -7.6134 721376 9157927 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 269.78 270 "I" 1 3 "mixed" 18
"90" 130 "809" 809 35.00706 -7.61105 721425 9158187 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 157.47 157 "I" 1 3 "mixed" 1
"91" 131 "815" 815 35.00422 -7.60781 721113 9158547 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 313.25 313 "I" 1 3 "mixed" 9
"92" 132 "816" 816 35.00379 -7.60653 721066 9158689 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 264.61 265 "I" 1 3 "mixed" 22
"93" 133 "817" 817 35.00308 -7.60515 720989 9158842 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 268.73 269 "I" 1 3 "mixed" 5
"94" 134 "834" 834 35.00871 -7.58902 721618 9160623 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 343.45 343 "B" 10 1 "grazer" 300
"95" 135 "836" 836 35.01031 -7.58683 721796 9160864 1 "alongside" 9 "2_midstream" 2011 2 2 20 "early" 328.16 328 "I" 1 3 "mixed" 7
"96" 138 "420" 420 34.80126 -7.80495 698622 9136841 1 "alongside" 7 "1_upstream" 2011 2 2 21 "early" 486.21 486 "I" 1 3 "mixed" 7
"97" 139 "415" 415 34.79872 -7.80942 698340 9136348 1 "alongside" 7 "1_upstream" 2011 2 2 21 "early" 301.22 301 "G" 2 2 "browser" 3
"98" 140 "366" 366 34.7594 -7.82295 693997 9134870 1 "alongside" 7 "1_upstream" 2011 2 2 21 "early" 262.07 262 "G" 2 2 "browser" 2
"99" 141 "348" 348 34.74474 -7.8261 692378 9134528 1 "alongside" 7 "1_upstream" 2011 2 2 21 "early" 279.79 280 "I" 1 3 "mixed" 1
"100" 142 "671" 671 34.93033 -7.67609 712924 9151031 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1091.82 1092 "I" 1 3 "mixed" 1
"101" 143 "685" 685 34.92853 -7.67062 712729 9151637 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1383.83 1384 "Wb" 9 1 "grazer" 1
"102" 144 "685" 685 34.92848 -7.66891 712724 9151826 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1450.23 1450 "Wb" 9 1 "grazer" 1
"103" 145 "685" 685 34.92776 -7.6675 712645 9151983 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 1587.61 1588 "Z" 5 1 "grazer" 1
"104" 147 "1338" 1338 34.91618 -7.65558 711373 9153307 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 3031.74 3032 "Z" 5 1 "grazer" 3
"105" 148 "1334" 1334 34.9165 -7.62535 711423 9156651 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 971.09 971 "G" 2 2 "browser" 2
"106" 149 "1334" 1334 34.91674 -7.62431 711450 9156765 2 "perpendicular" 4 "2_midstream" 2011 2 2 22 "early" 855.25 855 "I" 1 3 "mixed" 21
